Class Name,Threshold
Akashiwo,0.95
Alexandrium_singlet,0.49
Amy_Gony_Protoc,0.35
Asterionellopsis,0.56
Boreadinium,0.45
Centric,0.7
Ceratium,0.95
Chaetoceros,0.89
Ciliates,0.49
Clusterflagellate,0.55
Cochlodinium,0.48
Corethron,0.29
Cryptophyte,0.38
Cyl_Nitz,0.56
Det_Cer_Lau,0.52
Dictyocha,0.6
Dinophysis,0.92
Ditylum,0.27
Entomoneis,0.38
Eucampia,0.88
FlagMix,0.81
Guin_Dact,0.37
Gymnodinium,0.42
Gyrodinium,0.63
Hemiaulus,0.47
Leptocylindrus,0.62
Licmophora,0.57
Lingulodinium,0.56
Mesodinium,0.39
NanoP_less10,0.92
Odontella,0.51
Pennate,0.81
Peridinium,0.44
Phaeocystis,0.81
Pleurosigma,0.35
Polykrikos,0.79
Prorocentrum,0.92
Protoperidinium,0.73
Pseudo-nitzschia,0.62
Pyramimonas,0.4
Rhiz_Prob,0.47
Scrip_Het,0.71
Skeletonema,0.43
Thalassionema,0.62
Thalassiosira,0.36
Tiarina,0.44
Tintinnid,0.94
Tontonia,0.46
Torodinium,0.49
Tropidoneis,0.45
Vicicitus,0.41
